#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал уплотнения сальника,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Тип иглы
,GB1-SW-A-4T-PK-R,1/4 под приварку внахлест,414бар,"0,35",4,-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-SW-A-4T-PK-S,1/4 под приварку внахлест,414бар,"0,35",4,-54°С,93°С,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-SW-A-4T-R,1/4 под приварку внахлест,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-SW-A-4T-S,1/4 под приварку внахлест,414бар,"0,35",4,-54°С,93°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-4N,NPT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-4N-B,NPT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-4N-G,NPT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-4N-G-B,NPT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-4N-G-R,NPT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-4N-G-S,NPT 1/4,414бар,"0,86","6,4",-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-4N-PK,NPT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-4N-PK-B,NPT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-4N-PK-R,NPT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-4N-PK-S,NPT 1/4,414бар,"0,86","6,4",-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-4N-R,NPT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-4N-S,NPT 1/4,414бар,"0,86","6,4",-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-4R,RT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-4R-B,RT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-4R-G,RT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-4R-G-B,RT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-4R-G-R,RT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-4R-G-S,RT 1/4,414бар,"0,86","6,4",-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-4R-PK,RT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-4R-PK-B,RT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-4R-PK-R,RT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-4R-PK-S,RT 1/4,414бар,"0,86","6,4",-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-4R-R,RT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-4R-S,RT 1/4,414бар,"0,86","6,4",-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-6N,NPT 3/8,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-6N-B,NPT 3/8,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-6N-G,NPT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-6N-G-B,NPT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-6N-G-R,NPT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-6N-G-S,NPT 3/8,414бар,"0,86","6,4",-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-6N-PK,NPT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-6N-PK-B,NPT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-6N-PK-R,NPT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-6N-PK-S,NPT 3/8,414бар,"0,86","6,4",-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-6N-R,NPT 3/8,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-6N-S,NPT 3/8,414бар,"0,86","6,4",-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-6R,RT 3/8,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-6R-B,RT 3/8,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-6R-G,RT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-6R-G-B,RT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-6R-G-R,RT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-6R-G-S,RT 3/8,414бар,"0,86","6,4",-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-6R-PK,RT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-6R-PK-B,RT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-6R-PK-R,RT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-6R-PK-S,RT 3/8,414бар,"0,86","6,4",-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-6R-R,RT 3/8,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-6R-S,RT 3/8,414бар,"0,86","6,4",-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-A-4N,NPT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-4N-B,NPT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-4N-G,NPT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-4N-G-B,NPT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-4N-G-R,NPT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-A-4N-G-S,NPT 1/4,414бар,"0,86","6,4",-54°С,93°С,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-A-4N-PK,NPT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-4N-PK-B,NPT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-4N-PK-R,NPT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-A-4N-PK-S,NPT 1/4,414бар,"0,86","6,4",-54°С,93°С,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-A-4N-R,NPT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-A-4N-S,NPT 1/4,414бар,"0,86","6,4",-54°С,93°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-A-4R,RT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-4R-B,RT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-4R-G,RT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-4R-G-B,RT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-4R-G-R,RT 1/4,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-A-4R-G-S,RT 1/4,414бар,"0,86","6,4",-54°С,93°С,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-A-4R-PK,RT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-4R-PK-B,RT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-4R-PK-R,RT 1/4,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-A-4R-PK-S,RT 1/4,414бар,"0,86","6,4",-54°С,93°С,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-A-4R-R,RT 1/4,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-A-4R-S,RT 1/4,414бар,"0,86","6,4",-54°С,93°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-A-6N,NPT 3/8,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-6N-B,NPT 3/8,414бар,"0,86","6,4",-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-6N-G,NPT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-6N-G-B,NPT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-6N-G-R,NPT 3/8,414бар,"0,86","6,4",-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-A-6N-G-S,NPT 3/8,414бар,"0,86","6,4",-54°С,93°С,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB2-F-A-6N-PK,NPT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB2-F-A-6N-PK-B,NPT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB2-F-A-6N-PK-R,NPT 3/8,414бар,"0,86","6,4",-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB2-F-A-6N-PK-S,NPT 3/8,414бар,"0,86","6,4",-54°С,93°С,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
