pagetitle,15;16;21;65;67;80;81;86;87;88;91;93;6
"T-MBB-S-G-20M-150-M-__C-C-S-4-__mm-G-1000mm-2";"";"C: Скользящая резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-C-S-4-__mm-L-1000mm-1";"";"C: Скользящая резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-C-S-4-__mm-L-1000mm-2";"";"C: Скользящая резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-C-S-4-__mm-G-5000mm-1";"";"C: Скользящая резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-C-S-4-__mm-G-5000mm-2";"";"C: Скользящая резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-C-S-4-__mm-L-5000mm-1";"";"C: Скользящая резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-C-S-4-__mm-L-5000mm-2";"";"C: Скользящая резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-1-__mm-G-1000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø4мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-1-__mm-G-1000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø4мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-1-__mm-L-1000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø4мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-1-__mm-L-1000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø4мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-1-__mm-G-5000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø4мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-1-__mm-G-5000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø4мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-1-__mm-L-5000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø4мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-1-__mm-L-5000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø4мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-2-__mm-G-1000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø6мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-2-__mm-G-1000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø6мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-2-__mm-L-1000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø6мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-2-__mm-L-1000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø6мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-2-__mm-G-5000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø6мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-2-__mm-G-5000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø6мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-2-__mm-L-5000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø6мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-2-__mm-L-5000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø6мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-3-__mm-G-1000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø8мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-3-__mm-G-1000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø8мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-3-__mm-L-1000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø8мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-3-__mm-L-1000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø8мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-3-__mm-G-5000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø8мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-3-__mm-G-5000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø8мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-3-__mm-L-5000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø8мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-3-__mm-L-5000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø8мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-4-__mm-G-1000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-4-__mm-G-1000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-4-__mm-L-1000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-4-__mm-L-1000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-4-__mm-G-5000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-4-__mm-G-5000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Газ";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-4-__mm-L-5000mm-1";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"1: SPDTX1";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-G-20M-150-M-__C-D-S-4-__mm-L-5000mm-2";"";"D: Внутренняя резьба";"M20X1.5";"___С";"SS316";"ø10мм";"Установка на стену<br><img src=assets/images/sme4.png>";"Стекло";"2: SPDTX2";"150 мм";"Жидкость";"Установка на стену";"assets/images/sme4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-1-__mm-G-1000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-1-__mm-G-1000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-1-__mm-L-1000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-1-__mm-L-1000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-1-__mm-G-5000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-1-__mm-G-5000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-1-__mm-L-5000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-1-__mm-L-5000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-2-__mm-G-1000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-2-__mm-G-1000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-2-__mm-L-1000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-2-__mm-L-1000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-2-__mm-G-5000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-2-__mm-G-5000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-2-__mm-L-5000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-2-__mm-L-5000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-3-__mm-G-1000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-3-__mm-G-1000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-3-__mm-L-1000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-3-__mm-L-1000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-3-__mm-G-5000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-3-__mm-G-5000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-3-__mm-L-5000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-3-__mm-L-5000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-4-__mm-G-1000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø10мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-4-__mm-G-1000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø10мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-4-__mm-L-1000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø10мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-4-__mm-L-1000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø10мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-4-__mm-G-5000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø10мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-4-__mm-G-5000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø10мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-4-__mm-L-5000mm-1";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø10мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-B-S-4-__mm-L-5000mm-2";"";"B: Вращающаяся резьба";"NPT 3/8";"___С";"SS316";"ø10мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-1-__mm-G-1000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-1-__mm-G-1000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-1-__mm-L-1000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-1-__mm-L-1000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-1-__mm-G-5000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-1-__mm-G-5000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-1-__mm-L-5000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-1-__mm-L-5000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø4мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-2-__mm-G-1000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-2-__mm-G-1000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-2-__mm-L-1000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-2-__mm-L-1000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-2-__mm-G-5000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-2-__mm-G-5000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-2-__mm-L-5000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-2-__mm-L-5000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø6мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Жидкость";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-3-__mm-G-1000mm-1";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"1: SPDTX1";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
"T-MBB-S-F-6N-100-K-__C-C-S-3-__mm-G-1000mm-2";"";"C: Скользящая резьба";"NPT 3/8";"___С";"SS316";"ø8мм";"Установка на панель<br><img src=assets/images/sae4.png>";"Безопасное стекло";"2: SPDTX2";"100 мм";"Газ";"Установка на панель";"assets/images/sae4.png";
