#,Заказной код,Параметр:Заказной код:Подсоединение,"Параметр:Заказной код:Длина, мм",Параметр:Заказной код:Количество поплавков,"Параметр:Заказной код:Материалы, контактирующие со средой",Параметр:Заказной код:Форма контакта,Параметр:Заказной код:Размер поплавка таблица,Параметр:Заказной код:Размер поплавка
,LS-102P-2-1-9-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-9-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-9-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-9-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-10-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-10-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-10-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-1-10-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-2-2-2-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-2-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-2-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-2-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-5-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-5-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-5-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-5-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-8-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-8-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-8-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-8-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-11-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-11-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-11-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-2-11-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-2-3-2-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-2-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-2-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-2-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-5-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-5-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-5-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-5-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-8-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-8-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-8-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-8-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-11-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-11-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-11-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-2-3-11-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-1-1-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-1-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-1-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-1-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-3-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-3-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-3-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-3-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-4-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-4-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-4-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-4-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-6-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-6-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-6-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-6-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-7-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-7-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-7-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-7-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-9-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-9-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-9-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-9-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-10-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-10-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-10-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-1-10-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-3-2-2-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-2-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-2-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-2-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-5-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-5-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-5-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-5-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-8-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-8-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-8-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-8-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-11-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-11-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-11-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-2-11-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-3-3-2-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-2-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-2-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-2-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-5-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-5-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-5-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-5-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-8-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-8-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-8-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-8-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-11-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-11-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-11-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-3-3-11-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-1-1-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-1-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-1-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-1-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-3-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-3-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-3-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-3-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-4-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-4-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-4-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-4-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-6-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-6-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-6-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-6-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-7-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-7-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-7-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-7-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-9-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-9-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-9-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-9-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-10-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-10-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-10-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-1-10-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),один F - (ПП)
,LS-102P-4-2-2-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-2-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-2-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-2-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-5-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-5-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-5-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-5-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-8-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-8-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-8-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-8-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-11-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-11-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-11-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-2-11-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),один F - (ПП)
,LS-102P-4-3-2-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-2-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-2-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-2-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-5-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-5-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-5-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-5-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-8-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-8-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-8-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-8-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-11-F-L=1000mm-l1=____mm __ON,G3/8,1000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-11-F-L=2000mm-l1=____mm __ON,G3/8,2000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-11-F-L=3000mm-l1=____mm __ON,G3/8,3000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-102P-4-3-11-F-L=4000mm-l1=____mm __ON,G3/8,4000,один,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),один F - (ПП)
,LS-103P-5-1-1-G-L=1000mm-l1=____mm __ON,G3/8,1000,один,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),один G - (ПВДФ)
,LS-103P-5-1-1-G-L=2000mm-l1=____mm __ON,G3/8,2000,один,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),один G - (ПВДФ)
