pagetitle,15;16;59;60;67;80;81;83;86;87;88;89;90;6
"LT-LTFB-D-W-B-F(G10)-3-1-A-B-L=2500мм-l1=___мм-N";"";"Гост Py10 Dy80";"2500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-B-F(G10)-3-2-A-B-L=2500мм-l1=___мм-D";"";"Гост Py10 Dy80";"2500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-B-F(G10)-3-2-A-B-L=2500мм-l1=___мм-N";"";"Гост Py10 Dy80";"2500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-B-F(G10)-3-3-A-B-L=2500мм-l1=___мм-D";"";"Гост Py10 Dy80";"2500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-B-F(G10)-3-3-A-B-L=2500мм-l1=___мм-N";"";"Гост Py10 Dy80";"2500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-B-F(G10)-3-4-A-B-L=2500мм-l1=___мм-D";"";"Гост Py10 Dy80";"2500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-B-F(G10)-3-4-A-B-L=2500мм-l1=___мм-N";"";"Гост Py10 Dy80";"2500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=500мм-l1=___мм-D";"";"Гост Py16 Dy50";"500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=500мм-l1=___мм-N";"";"Гост Py16 Dy50";"500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-B-B-L=500мм-l1=___мм-D";"";"Гост Py16 Dy50";"500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-B-B-L=500мм-l1=___мм-N";"";"Гост Py16 Dy50";"500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-B-B-L=500мм-l1=___мм-D";"";"Гост Py16 Dy50";"500";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-B-B-L=500мм-l1=___мм-N";"";"Гост Py16 Dy50";"500";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-B-B-L=500мм-l1=___мм-D";"";"Гост Py16 Dy50";"500";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-B-B-L=500мм-l1=___мм-N";"";"Гост Py16 Dy50";"500";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-A-B-L=500мм-l1=___мм-D";"";"Гост Py16 Dy50";"500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-A-B-L=500мм-l1=___мм-N";"";"Гост Py16 Dy50";"500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-A-B-L=500мм-l1=___мм-D";"";"Гост Py16 Dy50";"500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-A-B-L=500мм-l1=___мм-N";"";"Гост Py16 Dy50";"500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-A-B-L=500мм-l1=___мм-D";"";"Гост Py16 Dy50";"500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-A-B-L=500мм-l1=___мм-N";"";"Гост Py16 Dy50";"500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-A-B-L=500мм-l1=___мм-D";"";"Гост Py16 Dy50";"500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-A-B-L=500мм-l1=___мм-N";"";"Гост Py16 Dy50";"500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=1000мм-l1=___мм-D";"";"Гост Py16 Dy50";"1000";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=1000мм-l1=___мм-N";"";"Гост Py16 Dy50";"1000";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-B-B-L=1000мм-l1=___мм-D";"";"Гост Py16 Dy50";"1000";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-B-B-L=1000мм-l1=___мм-N";"";"Гост Py16 Dy50";"1000";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-B-B-L=1000мм-l1=___мм-D";"";"Гост Py16 Dy50";"1000";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-B-B-L=1000мм-l1=___мм-N";"";"Гост Py16 Dy50";"1000";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-B-B-L=1000мм-l1=___мм-D";"";"Гост Py16 Dy50";"1000";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-B-B-L=1000мм-l1=___мм-N";"";"Гост Py16 Dy50";"1000";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-A-B-L=1000мм-l1=___мм-D";"";"Гост Py16 Dy50";"1000";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-A-B-L=1000мм-l1=___мм-N";"";"Гост Py16 Dy50";"1000";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-A-B-L=1000мм-l1=___мм-D";"";"Гост Py16 Dy50";"1000";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-A-B-L=1000мм-l1=___мм-N";"";"Гост Py16 Dy50";"1000";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-A-B-L=1000мм-l1=___мм-D";"";"Гост Py16 Dy50";"1000";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-A-B-L=1000мм-l1=___мм-N";"";"Гост Py16 Dy50";"1000";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-A-B-L=1000мм-l1=___мм-D";"";"Гост Py16 Dy50";"1000";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-A-B-L=1000мм-l1=___мм-N";"";"Гост Py16 Dy50";"1000";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=1500мм-l1=___мм-D";"";"Гост Py16 Dy50";"1500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=1500мм-l1=___мм-N";"";"Гост Py16 Dy50";"1500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-B-B-L=1500мм-l1=___мм-D";"";"Гост Py16 Dy50";"1500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-B-B-L=1500мм-l1=___мм-N";"";"Гост Py16 Dy50";"1500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-B-B-L=1500мм-l1=___мм-D";"";"Гост Py16 Dy50";"1500";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-B-B-L=1500мм-l1=___мм-N";"";"Гост Py16 Dy50";"1500";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-B-B-L=1500мм-l1=___мм-D";"";"Гост Py16 Dy50";"1500";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-B-B-L=1500мм-l1=___мм-N";"";"Гост Py16 Dy50";"1500";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-A-B-L=1500мм-l1=___мм-D";"";"Гост Py16 Dy50";"1500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-A-B-L=1500мм-l1=___мм-N";"";"Гост Py16 Dy50";"1500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-A-B-L=1500мм-l1=___мм-D";"";"Гост Py16 Dy50";"1500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-A-B-L=1500мм-l1=___мм-N";"";"Гост Py16 Dy50";"1500";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-A-B-L=1500мм-l1=___мм-D";"";"Гост Py16 Dy50";"1500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-A-B-L=1500мм-l1=___мм-N";"";"Гост Py16 Dy50";"1500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-A-B-L=1500мм-l1=___мм-D";"";"Гост Py16 Dy50";"1500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-A-B-L=1500мм-l1=___мм-N";"";"Гост Py16 Dy50";"1500";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=2000мм-l1=___мм-D";"";"Гост Py16 Dy50";"2000";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=2000мм-l1=___мм-N";"";"Гост Py16 Dy50";"2000";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-B-B-L=2000мм-l1=___мм-D";"";"Гост Py16 Dy50";"2000";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-B-B-L=2000мм-l1=___мм-N";"";"Гост Py16 Dy50";"2000";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-B-B-L=2000мм-l1=___мм-D";"";"Гост Py16 Dy50";"2000";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-B-B-L=2000мм-l1=___мм-N";"";"Гост Py16 Dy50";"2000";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-B-B-L=2000мм-l1=___мм-D";"";"Гост Py16 Dy50";"2000";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-B-B-L=2000мм-l1=___мм-N";"";"Гост Py16 Dy50";"2000";"ПВХ";"Взрывозащита";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-A-B-L=2000мм-l1=___мм-D";"";"Гост Py16 Dy50";"2000";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-A-B-L=2000мм-l1=___мм-N";"";"Гост Py16 Dy50";"2000";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-A-B-L=2000мм-l1=___мм-D";"";"Гост Py16 Dy50";"2000";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-2-A-B-L=2000мм-l1=___мм-N";"";"Гост Py16 Dy50";"2000";"ПВХ";"IP65 или IP67";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-A-B-L=2000мм-l1=___мм-D";"";"Гост Py16 Dy50";"2000";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-3-A-B-L=2000мм-l1=___мм-N";"";"Гост Py16 Dy50";"2000";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-A-B-L=2000мм-l1=___мм-D";"";"Гост Py16 Dy50";"2000";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-X-A-F(G16)-3-4-A-B-L=2000мм-l1=___мм-N";"";"Гост Py16 Dy50";"2000";"ПВХ";"Взрывозащита";"&#216;75";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=2500мм-l1=___мм-D";"";"Гост Py16 Dy50";"2500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
"LT-LTFB-D-W-A-F(G16)-3-1-B-B-L=2500мм-l1=___мм-N";"";"Гост Py16 Dy50";"2500";"ПВХ";"IP65 или IP67";"&#216;49";"LTFB<br/><img src=products/control-level/float-level-transmitters/ltfb.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfb.png";
